OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
1,2023,CA,CDF,SKU,WHITWORTH,00004808,2023/06/17 00:00:00+00,2023/06/17 00:00:00+00,5,1,1,5.729125,,,{7985848C-0AC2-4BA4-8F0E-29F778652E61},,,2020,41407.83984375,1247.16603398886
2,2023,CA,LRA,BTU,KAISER,00010225,2023/06/02 00:00:00+00,2023/06/02 00:00:00+00,5,1,1,13.60238,,,{43EBCC88-B3AC-48EB-8EF5-417FE0939CCF},,,2020,93455.87890625,1285.51454971661
3,2023,CA,CDF,AEU,JACKSON,00017640,2023/07/01 00:00:00+00,2023/07/02 00:00:00+00,2,1,1,27.81446,,,{B64E1355-BF1D-441A-95D0-BC1FBB93483B},,,2020,183028.5,2697.58742917456
4,2023,CA,CDF,AEU,CARBON,00018821,2023/07/11 00:00:00+00,2023/07/11 00:00:00+00,9,1,1,58.76023,,,{CB41DB0A-E4B1-489D-A4EA-738F2CD6DB3B},,,2020,388221.953125,2548.73877855158
5,2023,CA,CDF,AEU,LIBERTY,00018876,2023/07/11 00:00:00+00,2023/07/12 00:00:00+00,14,1,1,70.979,,,{F83F70A4-07A7-40B8-BD51-10CCC1C30D63},,,2020,466456.0078125,5106.93652582734
6,2023,CA,CDF,AEU,CLAY,00016263,2023/06/18 00:00:00+00,2023/06/18 00:00:00+00,14,1,1,28.63791,,,{428149C3-A93B-4B17-A22B-60D73AC7D4D2},,,2020,188516.984375,1941.50983446427
7,2023,CA,CDF,BEU,PAICINES,00004105,2023/07/13 00:00:00+00,2023/07/13 00:00:00+00,10,1,1,13.59313,,,{D8809C1A-6991-4432-B9FA-DA4F3D78AB49},,,2020,85835.91796875,1776.4387595018
8,2023,CA,CDF,BEU,VINEYARD,00004022,2023/07/09 00:00:00+00,2023/07/10 00:00:00+00,14,1,1,391.3749,,,{FF1BDD2B-496B-4193-B641-37802DA7E8A7},,,2020,2412533.5546875,10733.8123075036
9,2023,CA,CDF,BEU,SLACKS,00004156,2023/07/15 00:00:00+00,2023/07/17 00:00:00+00,10,1,1,40.41796,,,{8C3A9ADB-EB11-4000-B21A-6261BD8A74D4},,,2020,249660.2734375,2407.16695678565
10,2023,CA,CDF,BEU,IDRIA,00004234,2023/07/19 00:00:00+00,2023/07/19 00:00:00+00,14,2,1,296.6445,,,{4D7CCAEE-1845-4A23-A09B-D33BEB748EEE},,,2020,1860464.30078125,10225.7742396832
11,2023,CA,CDF,SHU,WONDER,00008060,2023/07/24 00:00:00+00,2023/07/28 00:00:00+00,6,1,1,161.8137,,,{EE0AD4B3-4F0A-4F46-93A8-6FC930B7DF69},,,2020,1141858.58984375,7184.88555633728
12,2023,CA,CDF,SHU,PINE,00006202,2023/06/15 00:00:00+00,2023/06/15 00:00:00+00,2,1,1,11.91801,,,{5713E1F7-ABE7-4DEA-B04D-1EF87247B468},,,2020,83320.984375,1388.85090723164
13,2023,CA,CDF,SHU,OLIVE,00008264,2023/07/29 00:00:00+00,2023/07/29 00:00:00+00,2,1,1,20.67,,,{7607B6CD-C0B3-40F8-BB68-2CEED3B441AB},,,2020,143460.0078125,2544.54186805971
14,2023,CA,CDF,BTU,TURKEY,00014148,2023/07/26 00:00:00+00,2023/07/31 00:00:00+00,7,1,1,52.17383,,,{203888E8-5D22-4C40-9349-825708637CDC},,,2020,354598.3046875,3866.55622041301
15,2023,CA,LRA,BTU,VIRGINIA,00011549,2023/06/21 00:00:00+00,2023/06/21 00:00:00+00,4,1,1,10.07201,,,{2381B3FE-68C0-4664-AA2A-CF830D6833B5},,,2020,68524.96875,1209.30553410994
16,2023,CA,CDF,RRU,RABBIT,00102458,2023/07/14 00:00:00+00,2023/07/23 00:00:00+00,10,1,1,8354.776, ,,{04F24B12-E13F-4C7E-80AF-C8AA1A4C8FAB},,,2020,49193097.9453125,47639.7437077098
17,2023,CA,CDF,RRU,HIGHLAND,00102435,2023/07/14 00:00:00+00,2023/07/23 00:00:00+00,14,1,1,104.0207, ,,{CDD1E559-3BBE-4680-A933-9694DD48BEA4},,,2020,612635.0234375,3915.57257152357
18,2023,CA,CDF,RRU,RECHE,00102379,2023/07/14 00:00:00+00,2023/07/23 00:00:00+00,7,2,1,435.684, ,,,,,2020,2570257.99609375,8565.27516599609
19,2023,CA,CDF,RRU,GAVILAN,00103039,2023/07/15 00:00:00+00,2023/07/23 00:00:00+00,14,2,1,334.5828, ,,{2EB6C428-B6F4-486F-9CA3-492F45EFBB30},,,2020,1966205.47265625,7959.66657521688
20,2023,CA,LRA,RRU,RAMONA,00074508,2023/05/22 00:00:00+00,2023/05/26 00:00:00+00,2,1,1,337.9316, ,,{92634986-F462-4277-ACAE-0062553E530D},,,2020,1986003.47265625,7664.10111785175
21,2023,CA,LRA,BTU,CEMETERY,00015186,2023/08/09 00:00:00+00,2023/08/09 00:00:00+00,14,1,1,74.10231,,,{768B16BB-3B0F-450E-B61B-8263D9B3751F},,,2020,502589.3828125,3982.26722140786
