OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,DECADES,Shape__Area,Shape__Length,DURATION
1,2023,CA,CDF,SKU,WHITWORTH,00004808,2023-06-17 00:00:00+00:00,2023-06-17 00:00:00+00:00,Railroad,1.0,1.0,5.729125,No Comments,2020,41407.83984375,1247.16603398886,0
2,2023,CA,LRA,BTU,KAISER,00010225,2023-06-02 00:00:00+00:00,2023-06-02 00:00:00+00:00,Railroad,1.0,1.0,13.60238,No Comments,2020,93455.87890625,1285.51454971661,0
3,2023,CA,CDF,AEU,JACKSON,00017640,2023-07-01 00:00:00+00:00,2023-07-02 00:00:00+00:00,Lightning,1.0,1.0,27.81446,No Comments,2020,183028.5,2697.58742917456,1
4,2023,CA,CDF,AEU,CARBON,00018821,2023-07-11 00:00:00+00:00,2023-07-11 00:00:00+00:00,Campfire,1.0,1.0,58.76023,No Comments,2020,388221.953125,2548.73877855158,0
5,2023,CA,CDF,AEU,LIBERTY,00018876,2023-07-11 00:00:00+00:00,2023-07-12 00:00:00+00:00,Unknown Cause,1.0,1.0,70.979,No Comments,2020,466456.0078125,5106.93652582734,1
6,2023,CA,CDF,AEU,CLAY,00016263,2023-06-18 00:00:00+00:00,2023-06-18 00:00:00+00:00,Unknown Cause,1.0,1.0,28.63791,No Comments,2020,188516.984375,1941.50983446427,0
7,2023,CA,CDF,BEU,PAICINES,00004105,2023-07-13 00:00:00+00:00,2023-07-13 00:00:00+00:00,Miscellaneous,1.0,1.0,13.59313,No Comments,2020,85835.91796875,1776.4387595018,0
8,2023,CA,CDF,BEU,VINEYARD,00004022,2023-07-09 00:00:00+00:00,2023-07-10 00:00:00+00:00,Unknown Cause,1.0,1.0,391.3749,No Comments,2020,2412533.5546875,10733.8123075036,1
9,2023,CA,CDF,BEU,SLACKS,00004156,2023-07-15 00:00:00+00:00,2023-07-17 00:00:00+00:00,Miscellaneous,1.0,1.0,40.41796,No Comments,2020,249660.2734375,2407.16695678565,2
10,2023,CA,CDF,BEU,IDRIA,00004234,2023-07-19 00:00:00+00:00,2023-07-19 00:00:00+00:00,Unknown Cause,2.0,1.0,296.6445,No Comments,2020,1860464.30078125,10225.7742396832,0
11,2023,CA,CDF,SHU,WONDER,00008060,2023-07-24 00:00:00+00:00,2023-07-28 00:00:00+00:00,Arson,1.0,1.0,161.8137,No Comments,2020,1141858.58984375,7184.88555633728,4
12,2023,CA,CDF,SHU,PINE,00006202,2023-06-15 00:00:00+00:00,2023-06-15 00:00:00+00:00,Lightning,1.0,1.0,11.91801,No Comments,2020,83320.984375,1388.85090723164,0
13,2023,CA,CDF,SHU,OLIVE,00008264,2023-07-29 00:00:00+00:00,2023-07-29 00:00:00+00:00,Lightning,1.0,1.0,20.67,No Comments,2020,143460.0078125,2544.54186805971,0
14,2023,CA,CDF,BTU,TURKEY,00014148,2023-07-26 00:00:00+00:00,2023-07-31 00:00:00+00:00,Vehicle,1.0,1.0,52.17383,No Comments,2020,354598.3046875,3866.55622041301,5
15,2023,CA,LRA,BTU,VIRGINIA,00011549,2023-06-21 00:00:00+00:00,2023-06-21 00:00:00+00:00,Debris Burning,1.0,1.0,10.07201,No Comments,2020,68524.96875,1209.30553410994,0
